datetime,C_B1,C_B2,C_B3,C_B4,C_B5,L_B1,L_B2,L_B3,L_B4,L_B5,W_B1,W_B2,W_B3,W_B4,W_B5,LW_B1,LW_B2,LW_B3,LW_B4,LW_B5
1/3/2006 18:00,,,0.0293129,0.0313777,0.0145927,-0.0106515,0.00916414,0.0699267,0.0089812,0.0554106,0.0246136,-0.0252907,-0.024455,0.0333956,0.0456192,0.0164892,0.0590959,0.04312,0.0431522,0.0569131
1/3/2006 19:00,0.00775339,-0.00442726,0.0183,0.00879464,0.000409209,-0.0278141,0.0074437,0.0757928,-0.0142433,0.0320827,0.0105825,-0.0428346,-0.0112956,0.0194161,0.0310454,0.00876545,0.0250784,0.0327961,0.00826153,0.0618899
1/3/2006 20:00,-0.0107417,-0.0191265,-0.000426076,0.0115935,-0.0105825,-0.0410542,-0.00508969,0.0469723,0.000245748,0.0441327,0.00578922,-0.0424099,-0.0116997,0.0143782,0.0342358,0.00388612,0.0228756,0.0362607,0.00119307,0.0319336
1/3/2006 21:00,-0.0142088,-0.0237855,-0.0123407,0.00322879,-0.00479897,-0.0716053,-0.0112768,0.0462442,-0.00301491,0.00371397,-0.00926819,-0.049825,-0.0493183,0.0262373,0.00540188,-0.00928618,0.0110632,0.0266164,0.000260146,0.0226431
1/3/2006 22:00,-0.0204826,-0.0317819,-0.0175806,0.00841708,-0.0049761,-0.06144,-0.0182709,0.0362486,-0.0171067,0.0290117,-0.00836495,-0.0559404,-0.0328296,0.0128488,0.00298864,-0.0112278,0.00466485,0.0107326,-0.0179807,0.0229849
1/3/2006 23:00,-0.0274718,-0.0305244,-0.054054,-0.0105801,-0.00897292,-0.0663884,-0.0180652,0.0329774,-0.0170794,0.0115513,-0.0179944,-0.0644647,-0.0433687,0.00836858,0.000541978,-0.0129195,0.00256025,0.0170937,0.00153738,0.00833835
1/4/2006 0:00,-0.0163658,-0.0406678,-0.0301938,-0.00800759,-0.0177877,-0.0477046,-0.0161227,0.04851,-0.00667045,-0.000141696,-0.0183918,-0.0521854,-0.0526323,0.0167,-0.0131663,-0.0152696,0.00474906,0.00699349,-0.0222899,0.00531513
1/4/2006 1:00,-0.0203353,-0.0365332,-0.0232434,-0.00549623,-0.010527,-0.0496491,-0.0164322,0.0321492,-0.00522098,0.00358856,-0.013417,-0.0607899,-0.0523174,0.0167752,-0.00633563,-0.00505568,0.00372589,0.0152136,-0.0274597,0.0189247
1/4/2006 2:00,-0.00117887,-0.0311487,-0.0328315,0.00820094,-0.00164277,-0.0454746,-0.0131242,0.0488529,-0.0103452,0.00874529,0.005321,-0.0462579,-0.0154316,0.0152645,0.0135933,-0.00414447,0.00197315,0.0253532,-0.0140564,0.013678
1/4/2006 3:00,-0.00172942,-0.0240788,-0.011335,-0.00459554,-0.00448618,-0.0391416,-0.00776716,0.0382203,-0.00303576,0.0102628,-0.00521281,-0.0566705,-0.0482717,0.0258254,0.0175367,-0.00104204,0.0025464,0.0318725,-0.00715661,0.0258579
1/4/2006 4:00,0.00417508,-0.0260916,0.00213786,0.015696,-0.00175432,-0.0446234,-0.00553863,0.0432235,0.00435896,0.0208511,0.00595863,-0.0420076,-0.0245915,0.0360915,0.0116829,0.00183019,0.00847773,0.0289107,0.00209387,0.0172578
1/4/2006 5:00,0.00768942,-0.0180471,-0.000487667,0.0197093,0.0019526,-0.027949,0.00236185,0.0506045,0.00637881,0.0253707,0.00980581,-0.0389349,-0.00788006,0.0479021,0.0267724,0.0110762,0.00979316,0.0411262,0.0180981,0.0240207
1/4/2006 6:00,0.000323991,-0.00958786,0.0163858,0.0162788,0.0092427,-0.0186519,0.000931433,0.0510131,0.0158437,0.0325429,0.00798564,-0.0337091,-0.0399201,0.0331407,0.0293063,0.00839512,0.0193895,0.047524,0.0295752,0.0320984
1/4/2006 7:00,-0.0157428,-0.0175722,-0.00691581,0.00147758,0.0127989,-0.0260314,0.00158518,0.032976,-0.00672901,0.0224129,-0.00738845,-0.0578457,-0.0338354,0.0336258,0.0213902,-0.000374021,0.0158894,0.0286326,0.00870665,0.0325684
1/4/2006 8:00,-0.00489499,-0.0194372,-0.00151659,0.00372923,-0.00589888,-0.0353859,0.00600432,0.0444082,0.0152514,0.0171131,0.0042785,-0.0552592,-0.0462876,0.0354721,0.0202377,0.00844099,0.00699998,0.0307973,-0.0154238,0.0201313
1/4/2006 9:00,0.0132914,-0.0218772,0.0144837,0.0207836,-0.000180766,-0.0509861,-0.00245255,0.0637843,0.004802,0.00760988,0.0140967,-0.0281848,-0.0192824,0.0528848,0.0223183,,1.78E-06,0.0308082,-0.025002,0.0262063
1/4/2006 10:00,0.0924275,-0.00653031,0.0676074,0.118327,0.00873065,0.0237747,0.0144243,0.136771,0.0816257,0.0385337,0.10397,0.0629943,-0.00892752,0.172182,0.0570212,0.0810708,0.0126324,0.058501,0.00064055,0.0361513
1/4/2006 11:00,0.196149,0.106884,,,0.120989,0.0826866,0.120688,,,0.201671,0.200521,0.142637,0.11979,,0.181184,0.269529,0.0968389,0.169868,0.104349,0.122084
1/4/2006 12:00,0.260914,0.210705,0.276924,0.307686,,0.177598,0.196564,0.286331,0.238371,,0.267366,0.160907,0.150646,0.30937,,0.232815,0.178333,0.238583,,
1/4/2006 13:00,,0.225571,0.290223,0.28414,0.174454,,0.177453,0.286256,0.24813,0.290413,0.281993,,0.27786,0.298532,0.256273,0.0626692,0.192482,0.218747,0.269294,0.227646
1/4/2006 14:00,0.219553,,0.255188,0.22991,0.140018,0.109523,,0.247488,0.186487,0.261633,0.204318,0.126549,0.155447,0.226906,0.255224,0.193932,,,0.255483,0.229565
